@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
827,'2019/01/28 16:07:47:092',8,97.959465,0.000187,0.102455,0.005427,1.554727,0.597718,0.000024,0.202136,0.089226,0.074584,0.408355,0.000698,0.122397,1.108602,0.326756,0.307119,0.920821,0.000039,0.000169,0.000007,0.004803,0.238999,0.424618,0.088903,0.001854,0.023218,0.202376,-0.62027,-2.643275,-4.500277,6.907934,194.513245,1
828,'2019/01/28 16:07:47:185',8,97.774712,0.000194,0.047606,0.010008,1.396564,0.691801,0,0.264695,0.179255,0.065799,0.353003,0.000602,0.257923,1.063352,0.310248,0.37117,0.951854,0.000039,0.000209,0.000007,0.004793,0.238316,0.423068,0.087562,0.001858,0.023288,0.202649,-0.657761,-3.086097,-4.571218,7.999998,195.240082,1
829,'2019/01/28 16:07:47:285',8,98.00341,0.000137,0.029587,0.010106,1.205351,0.621483,0,0.806688,0.337352,0.055214,0.2856,0.000311,0.449133,1.129746,0.305502,0.344293,0.719913,0.000045,0.000322,0.000007,0.004834,0.234228,0.421987,0.086264,0.001851,0.023662,0.20132,-0.696754,-2.532183,-6.20553,6.723586,198.094788,1
830,'2019/01/28 16:07:47:377',8,97.798981,0.000143,0.032189,0.011327,1.705799,0.766149,0,0.814089,0.413094,0.047414,0.28653,0.000217,0.849146,1.436495,0.282484,0.461727,0.676221,0.000045,0.000441,0.000005,0.004942,0.252105,0.418454,0.089417,0.00185,0.02361,0.201408,-1.024178,-3.030017,-6.051256,7.974244,192.710251,1
831,'2019/01/28 16:07:47:475',8,97.84832,0.000207,0.038504,0.024672,2.682756,0.841752,0.000188,0.776755,0.557775,0.034839,0.373985,0.000122,1.377576,1.339572,0.271079,0.56826,0.44458,0.000081,0.00116,0.000004,0.005128,0.326555,0.413869,0.095917,0.001842,0.023766,0.200251,-1.545074,-2.91415,-5.248036,7.561788,199.80043,1
832,'2019/01/28 16:07:47:552',8,97.909996,0.000169,0.081309,0.025107,3.065848,1.009818,0,1.703766,0.914281,0.030361,0.361638,0.000065,1.218106,1.095878,0.264385,0.914592,0.37727,0.000055,0.001827,0.000003,0.005258,0.518532,0.404107,0.098877,0.001837,0.024289,0.202221,-1.822113,-2.765601,-4.630826,7.930763,193.331268,1
833,'2019/01/28 16:07:47:685',8,97.627899,0.000122,0.210971,0.021429,4.013496,0.986877,0,6.063755,0.985138,0.024963,0.253631,0.000053,1.135982,0.836079,0.242921,1.119711,0.260284,0.000024,0.001962,0.000002,0.006223,0.57703,0.39791,0.106778,0.001826,0.02437,0.202898,-2.165848,-3.413073,-2.545131,7.144939,193.27562,1
834,'2019/01/28 16:07:47:777',8,97.475136,0.000082,0.755207,0.034426,5.638402,1.501059,0,21.886312,0.810366,0.026822,0.299793,0.000031,0.907601,0.879092,0.275974,1.535031,0.22482,0.000011,0.003156,0.000001,0.0109,0.533025,0.38703,0.12465,0.001793,0.023715,0.207066,-2.650543,-3.732935,-2.165584,7.304698,192.523102,1
835,'2019/01/28 16:07:47:852',8,97.595039,0.000132,2.363922,0.038095,6.059106,1.930216,0,31.947304,0.916873,0.028154,0.318965,0.000036,0.99978,0.761945,0.273136,1.610176,0.219559,0.000009,0.005487,0.000001,0.014125,0.546082,0.385039,0.144066,0.001701,0.022879,0.225033,-2.855125,-3.483531,-1.492638,7.055005,192.26358,1
836,'2019/01/28 16:07:47:982',8,96.80024,0.000082,18.878126,0.02501,5.536986,5.793219,0,83.641312,0.794677,0.028463,0.17572,0.000036,1.291145,0.527061,0.414623,3.294513,0.140879,0.000008,0.008014,0,0.031603,0.518961,0.344475,0.450111,0.00099,0.014568,0.508724,-3.257233,-4.952138,-0.055541,7.817316,191.868469,1
837,'2019/01/28 16:07:48:064',8,97.629105,0.000088,31.695349,0.018656,7.937265,9.876537,0,94.190491,0.619006,0.03464,0.130344,0.000046,1.805374,0.410978,0.538633,3.598141,0.125523,0.000004,0.015937,0,0.024616,0.509783,0.337458,1.322992,0.000651,0.01031,0.955567,-4.164597,-3.41046,0.437937,8.4224,194.663116,1
838,'2019/01/28 16:07:48:164',8,97.606262,0.000093,36.921814,0.012906,6.19634,15.778248,0,94.287285,0.43979,0.037994,0.106339,0.000043,3.37512,0.284432,0.592217,3.314846,0.086799,0.000002,0.039612,0,0.017947,0.650181,0.342952,1.690678,0.000551,0.008747,1.228743,-3.953102,-3.459572,1.257624,7.409479,195.999603,1
839,'2019/01/28 16:07:48:302',8,98.091217,0.000094,44.916916,0.006513,5.852986,16.128716,0,93.710579,0.386,0.040256,0.07982,0.000056,2.64782,0.173892,0.584252,2.1205,0.078894,0.000002,0.04058,0,0.01109,0.765764,0.37072,2.884819,0.000424,0.007371,1.818101,-3.259071,-2.302834,1.755891,7.916738,194.880692,1
