@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
2336,'2019/01/28 19:15:33:059',18,98.006104,0.041456,0.04853,0.09471,0.003643,0.007165,0,0.151736,3.114146,79.785721,0.077925,0.000004,0.006476,0.000985,17.512337,0.000187,99.999954,0.005419,99.999931,1.804803,0.000005,0.000107,0.004254,99.921013,99.930321,0.000001,16.021374,98.145111,-2.525301,-1.971431,0.614559,158.642868,1
2335,'2019/01/28 19:15:32:890',18,97.95578,0.042804,0.034133,0.06675,0.001502,0.014627,0,0.042077,4.24802,86.400215,0.107476,0.000002,0.007121,0.001987,37.060528,0.000086,99.999977,0.402069,99.999985,1.428956,0.000005,0.000107,0.004571,99.921013,99.930359,0.000001,16.473352,97.794632,-2.652508,-2.07091,1.565544,156.69516,1
2334,'2019/01/28 19:15:32:721',18,98.270721,0.050111,0.057473,0.109101,0.001795,0.01564,99.976234,0.060062,9.031032,91.560707,0.112794,0.000001,0.003888,0.002174,49.094517,0.000043,99.999985,3.95224,100,1.277331,0.000004,0.000107,0.007282,99.921013,99.93026,0.000002,18.554787,94.659149,-1.799906,-1.787226,0.662661,165.590012,1
2333,'2019/01/28 19:15:32:561',18,98.532974,0.00534,0.808092,0.752842,0.004568,0.035692,99.183723,2.109534,33.827896,91.247398,0.098724,0.000001,0.004897,0.006683,67.585114,0.00015,99.999985,0.170492,100,1.671915,0.000001,0.000107,0.00451,99.921013,99.928741,0.00001,33.290409,88.925934,-0.964232,-1.909622,-0.007227,165.885315,1
2332,'2019/01/28 19:15:32:419',18,98.426414,0.003585,1.134433,3.964914,0.014824,0.101253,0,4.01722,39.184731,67.649368,0.247366,0,0.007626,0.020412,85.448959,0.000689,99.999931,0.027261,100,0.817707,0.000001,0.000107,0.004079,99.921013,99.927994,0.000014,37.333073,87.814079,-1.32024,-1.556544,2.143695,158.466019,1
2331,'2019/01/28 19:15:32:228',18,98.036545,0.026121,0.214982,0.331057,0.022623,0.196886,0,0.005951,16.417261,39.092457,0.488591,0,0.013937,0.059311,95.036728,0.000946,99.999046,0.065145,100,0.195508,0.000003,0.000107,0.003966,99.921013,99.930016,0.000003,22.298714,94.925407,-2.446829,-2.300729,1.028947,159.091309,1
2330,'2019/01/28 19:15:32:061',18,98.288452,0.015439,0.236288,0.966636,0.020481,0.380976,0,0.007128,10.312069,16.069416,0.617419,0,0.032048,0.179223,98.225693,0.001285,99.988953,0.411449,100,0.031307,0.000004,0.000107,0.004103,99.921013,99.93,0.000002,19.306023,96.664215,-1.747453,-1.803852,0.745312,156.415039,1
2329,'2019/01/28 19:15:31:887',18,98.342163,0.005336,0.483289,0.648131,0.03584,3.218378,0.131411,0.044565,8.543694,4.71939,0.420905,0,0.040539,0.6368,98.481056,0.003048,99.856087,3.235525,100,0.008338,0.000004,0.000107,0.005763,99.921013,99.929306,0.000002,18.598379,95.789528,-1.585295,-3.223794,0.828431,158.983398,1
2328,'2019/01/28 19:15:31:728',18,97.826103,0.000427,1.361309,0.501191,0.178448,29.739162,99.971207,4.081207,17.223181,1.403562,0.180499,0,0.015649,0.650505,96.93737,0.044629,98.384491,0.658549,100,0.002559,0.000003,0.000107,0.003992,99.921013,99.925308,0.000004,22.479088,94.430756,-2.966654,-2.354321,-0.001854,164.161606,1
2327,'2019/01/28 19:15:31:554',18,98.463188,0.00002,9.481282,4.12595,1.202471,85.962006,0,95.079666,46.085842,0.408089,0.141625,0.000002,0.454208,1.135913,83.740295,1.488384,81.081978,0.079597,100,0.001127,0.000013,0.000107,0.002461,99.921013,99.866631,0.000034,32.198326,85.190361,-1.200112,-2.51135,2.090894,157.460068,1
