@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2019/01/24 11:06:19:572',1,98.464729,0.00001,37.38084,0.061574,0.01656,10.717707,0,99.999825,8.926486,0.002174,0.00426,0.000018,86.68808,0.342703,1.387058,0.000677,0.0598,0.000013,0.059707,0.000001,0.047433,65.00473,0.424651,84.802696,0.000544,0.004012,1.61354,-28.605225,1.195062,2.577312,3.37382,159.621918,1
2,'2019/01/24 11:06:19:669',1,98.683876,0.000034,32.578548,0.032347,0.015861,13.448133,0.000001,99.999306,10.255284,0.002568,0.005002,0.000022,77.099777,0.296752,1.535576,0.000704,0.063531,0.000021,0.048078,0.000001,0.049849,67.753807,0.425001,66.625816,0.000635,0.005803,1.324819,-26.150513,0.413856,2.188067,3.322855,160.59346,1
3,'2019/01/24 11:06:19:750',1,98.763611,0.000043,42.083759,0.041933,0.015327,10.255833,0,99.999512,13.695624,0.003381,0.005634,0.000029,73.953316,0.464145,1.463667,0.000654,0.097214,0.000019,0.045108,0.000002,0.024309,53.550362,0.425346,75.868919,0.000466,0.00606,2.34176,-26.23764,0.097336,1.956452,3.703243,160.156784,1
4,'2019/01/24 11:06:19:843',1,98.576118,0.000049,47.71207,0.044087,0.02792,8.462564,0,99.999344,15.505505,0.003922,0.006165,0.000038,69.747765,0.431478,1.708979,0.000889,0.105561,0.000016,0.044823,0.000002,0.015431,76.554588,0.425413,77.680298,0.000387,0.006369,3.24683,-25.522217,0.812782,2.092389,2.829253,159.174118,1
5,'2019/01/24 11:06:19:979',1,98.617447,0.000033,55.493618,0.078368,0.039777,3.481746,0,99.999809,10.168056,0.004698,0.006961,0.000041,66.950104,0.407214,1.738528,0.001147,0.096316,0.000011,0.04221,0.000002,0.011999,64.018112,0.425408,83.245453,0.0003,0.003851,4.046758,-23.074211,-0.663435,2.09559,2.999663,160.849854,1
6,'2019/01/24 11:06:20:070',1,98.214325,0.000021,58.845051,0.132088,0.032027,4.129753,95.652756,99.997314,2.059083,0.005997,0.00786,0.000069,69.380966,0.382673,2.281545,0.000776,0.084113,0.000024,0.028324,0.000001,0.014576,58.797741,0.425712,88.248169,0.000268,0.001983,3.760851,-21.360764,-1.963236,2.467079,3.268806,159.071762,1
7,'2019/01/24 11:06:20:170',1,97.765999,0.000029,41.051796,0.244379,0.026705,3.232671,0.000276,99.956398,0.589662,0.009207,0.01075,0.000105,60.930729,0.484584,2.521114,0.000906,0.106271,0.000058,0.02015,0.000002,0.035773,48.458889,0.426111,53.534336,0.00048,0.003229,1.514327,-18.346611,-3.106093,3.443712,2.306596,159.951294,1
8,'2019/01/24 11:06:20:245',1,97.625389,0.000027,12.227694,0.129192,0.059879,1.922091,0.000002,98.577843,0.117552,0.012889,0.014451,0.000239,59.022331,0.534795,2.682037,0.001358,0.137329,0.000148,0.009327,0.000004,0.164854,61.537254,0.426645,11.369221,0.001231,0.006638,0.357963,-17.699593,-3.418489,3.240453,2.409339,160.610443,1
9,'2019/01/24 11:06:20:382',1,97.414841,0.000059,3.180263,0.03636,0.050006,1.446342,0,74.474403,0.039588,0.01723,0.015052,0.000444,45.095184,0.379323,2.808903,0.001215,0.125439,0.000099,0.004986,0.000004,0.096637,36.645546,0.426674,2.425424,0.001653,0.010449,0.22735,-13.536652,-3.85404,4.662671,2.879669,160.678528,1
10,'2019/01/24 11:06:20:449',1,97.610863,0.000129,0.880532,0.01675,0.046837,1.356328,0,14.792975,0.021412,0.023143,0.021488,0.000653,39.787422,0.278534,3.18771,0.000754,0.115102,0.000082,0.005911,0.000005,0.01375,64.568069,0.426583,1.423095,0.001783,0.01208,0.2025,-11.944855,-3.449729,4.503431,2.743809,159.488754,1
11,'2019/01/24 11:06:20:567',1,97.306175,0.000301,0.405828,0.00355,0.076097,1.110026,0,31.468157,0.072958,0.030006,0.018942,0.000867,49.01207,0.234461,3.617594,0.000979,0.122479,0.000061,0.00504,0.000007,0.028662,66.575272,0.426654,2.626231,0.00181,0.010517,0.198129,-14.742897,-4.065502,5.311573,2.806425,161.433304,1
12,'2019/01/24 11:06:20:645',1,97.426628,0.000308,0.267363,0.001451,0.096987,1.188163,0,50.717747,0.151045,0.046776,0.018413,0.001606,50.916107,0.236272,4.156775,0.00137,0.117842,0.000056,0.00669,0.000008,0.056469,57.841702,0.426563,2.968743,0.001819,0.010277,0.197184,-15.343636,-3.830587,3.991485,2.745438,160.298523,1
13,'2019/01/24 11:06:20:743',1,97.529793,0.000256,0.199492,0.002181,0.089737,0.94227,0,33.642422,0.217174,0.05582,0.017836,0.002319,45.467976,0.164571,4.201516,0.00107,0.098968,0.000042,0.00774,0.000007,0.029213,62.113701,0.426392,2.021527,0.001823,0.01133,0.19674,-13.725899,-3.620725,4.45598,2.12727,158.726944,1
14,'2019/01/24 11:06:20:876',1,97.833015,0.000154,0.175024,0.003465,0.056963,1.18402,0,41.559231,0.394873,0.07712,0.013389,0.002978,41.25853,0.142614,4.05744,0.000545,0.120096,0.00003,0.007229,0.000012,0.035201,60.750286,0.426581,1.501884,0.001825,0.012297,0.197737,-12.506805,-2.950378,4.669808,2.29314,159.230759,1
15,'2019/01/24 11:06:20:996',1,97.654755,0.000155,0.281469,0.007578,0.050457,1.342505,0,73.967529,0.94637,0.100088,0.013311,0.004054,37.322281,0.160461,4.914857,0.000413,0.147617,0.000024,0.007516,0.000014,0.09426,72.105042,0.426791,1.146557,0.001819,0.013574,0.20235,-11.488213,-3.354749,3.662332,2.75159,156.14502,1
16,'2019/01/24 11:06:21:066',1,98.193306,0.000117,0.251819,0.015911,0.03952,1.558782,0,80.247025,1.438536,0.125068,0.013661,0.003792,33.167675,0.160627,5.447302,0.000327,0.164812,0.000019,0.008502,0.000015,0.106342,71.040848,0.4269,0.852872,0.001822,0.015034,0.205209,-10.38166,-2.022804,4.118907,1.809277,157.025772,1
17,'2019/01/24 11:06:21:173',1,98.541824,0.000085,0.238497,0.033234,0.030938,2.050288,0.000001,88.097099,1.712423,0.098583,0.01308,0.002901,25.795618,0.192151,4.647639,0.000262,0.175281,0.000014,0.007953,0.000014,0.120827,72.853004,0.426995,0.505013,0.001823,0.017312,0.206858,-8.242599,0.933534,4.56907,2.618278,158.790298,1
18,'2019/01/24 11:06:21:254',1,97.446106,0.000054,0.392096,0.045569,0.026252,3.542207,0,93.993546,2.360616,0.082001,0.009069,0.002236,33.298248,0.212336,4.549475,0.000131,0.170711,0.000014,0.006675,0.000014,0.160775,84.631874,0.426998,0.869389,0.001813,0.015894,0.212491,-10.682266,3.79161,3.989839,2.608554,157.751617,1
19,'2019/01/24 11:06:21:371',1,96.762947,0.000043,0.81984,0.021264,0.021903,8.005922,0,99.298409,1.994216,0.067349,0.009381,0.001118,59.091156,0.287071,4.466296,0.000097,0.10815,0.000015,0.003278,0.000007,0.292132,93.508545,0.426611,5.398766,0.001785,0.010007,0.214105,-18.321236,5.011993,4.446428,2.24306,158.95282,1
20,'2019/01/24 11:06:21:483',1,96.080894,0.000017,0.674047,0.009605,0.020868,6.388172,0,99.397957,1.516077,0.054337,0.007433,0.000625,57.060497,0.380303,3.493464,0.000076,0.081785,0.000015,0.002094,0.000004,0.291391,95.742233,0.426438,4.65766,0.001792,0.010073,0.209284,-17.573776,6.003356,4.181277,1.773284,159.960556,1
21,'2019/01/24 11:06:21:589',1,96.089134,0.00001,1.29637,0.004884,0.040378,7.991399,0,99.855301,1.656581,0.041001,0.006397,0.000472,65.878281,0.428128,3.555125,0.000058,0.054572,0.000017,0.000776,0.000003,0.32938,96.421341,0.426267,8.749057,0.001755,0.008651,0.21653,-20.270203,5.992412,3.919664,0.468673,158.15361,1
22,'2019/01/24 11:06:21:669',1,95.967979,0.000007,2.75766,0.004529,0.028384,6.44827,0,99.967667,2.175533,0.027427,0.006973,0.000286,52.531784,0.608251,2.576714,0.000044,0.053543,0.000021,0.000457,0.000002,0.23913,96.954071,0.426269,3.940687,0.001673,0.010786,0.236539,-16.418671,6.151264,2.242801,0.617768,160.29982,1
23,'2019/01/24 11:06:21:780',1,95.980202,0.000007,3.744599,0.004659,0.01992,2.531048,0,99.991272,2.308738,0.022938,0.009262,0.000193,53.159256,0.767668,2.262336,0.000035,0.050152,0.000026,0.000221,0.000002,0.227748,96.520096,0.42625,4.401146,0.00162,0.010508,0.24943,-16.644455,6.135451,3.295642,1.08005,160.162048,1
